Source Player,Source Short form,Innovation Phase,source,Source Intervension,source filter,Target Player,Target innovation Phase,Target filter,Target short form,target,Target intervention
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Education and Research Institutions,A,E,A-Skills exchange programs,Skills exchange programs,Education and Research InstitutionsSkills exchange programs,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Education and Research Institutions,A,E,A-Startups/Spinoffs,Startups/Spinoffs,Education and Research InstitutionsStartups/Spinoffs,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Education and Research Institutions,A,E,A-Startups/Spinoffs,Startups/Spinoffs,Education and Research InstitutionsStartups/Spinoffs,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Education and Research Institutions,A,F,A-Joint Ventures,Joint Ventures,Education and Research InstitutionsJoint Ventures,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Education and Research Institutions,A,F,A-Joint Ventures,Joint Ventures,Education and Research InstitutionsJoint Ventures,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Education and Research Institutions,A,F,A-Joint Ventures,Joint Ventures,Education and Research InstitutionsJoint Ventures,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Education and Research Institutions,A,F,A-Joint Ventures,Joint Ventures,Education and Research InstitutionsJoint Ventures,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Education and Research Institutions,A,F,A-Joint Ventures,Joint Ventures,Education and Research InstitutionsJoint Ventures,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Government & Regulators,M,Government & RegulatorsCollaborator Pull,G,G-Collaborator Pull,Collaborator Pull
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Education and Research Institutions,A,M,A-Collaborator pull,Collaborator pull,Education and Research InstitutionsCollaborator pull,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Education and Research Institutions,A,M,A-Forums to define problems and approach,Forums to define problems and approach,Education and Research InstitutionsForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Education and Research Institutions,A,M,A-Forums to define problems and approach,Forums to define problems and approach,Education and Research InstitutionsForums to define problems and approach,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Education and Research Institutions,A,M,A-Forums to define problems and approach,Forums to define problems and approach,Education and Research InstitutionsForums to define problems and approach,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Education and Research Institutions,A,M,A-Forums to define problems and approach,Forums to define problems and approach,Education and Research InstitutionsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Education and Research Institutions,A,M,A-Forums to define problems and approach,Forums to define problems and approach,Education and Research InstitutionsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Education and Research Institutions,A,M,A-New academic majors/research centers,New academic majors/research centers,Education and Research InstitutionsNew academic majors/research centers,Government & Regulators,M,Government & RegulatorsNational Strategy,G,G-National Strategy,National Strategy
Education and Research Institutions,A,M,A-New academic majors/research centers,New academic majors/research centers,Education and Research InstitutionsNew academic majors/research centers,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Education and Research Institutions,A,M,A-New academic majors/research centers,New academic majors/research centers,Education and Research InstitutionsNew academic majors/research centers,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Education and Research Institutions,A,M,A-New academic majors/research centers,New academic majors/research centers,Education and Research InstitutionsNew academic majors/research centers,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Education and Research Institutions,A,R,A-Data Sharing,Data Sharing,Education and Research InstitutionsData Sharing,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Education and Research Institutions,A,R,A-Lab Research,Lab Research,Education and Research InstitutionsLab Research,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Education and Research Institutions,A,R,A-Lab Research,Lab Research,Education and Research InstitutionsLab Research,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Education and Research Institutions,A,R,A-Lab Research,Lab Research,Education and Research InstitutionsLab Research,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,E,G-Open Government IP,Open Government IP,Government & RegulatorsOpen Government IP,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,E,G-Open Government IP,Open Government IP,Government & RegulatorsOpen Government IP,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Open Government IP,Open Government IP,Government & RegulatorsOpen Government IP,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Government & Regulators,G,E,G-Open Government IP,Open Government IP,Government & RegulatorsOpen Government IP,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,E,G-Open Government IP,Open Government IP,Government & RegulatorsOpen Government IP,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Government & Regulators,M,Government & RegulatorsCollaborator Pull,G,G-Collaborator Pull,Collaborator Pull
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Government & Regulators,M,Government & RegulatorsForums to define problems and approach,G,G-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Government & Regulators,F,Government & RegulatorsInfrastructure creation,G,G-Infrastructure creation,Infrastructure creation
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Government & Regulators,G,F,G-Direct R&D Funding,Direct R&D Funding,Government & RegulatorsDirect R&D Funding,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,F,Semiconductor manufacturingStock sales,I,I-Stock sales,Stock sales
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,F,Semiconductor manufacturingLoans and debt financing,I,I-Loans and debt financing,Loans and debt financing
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,F,Semiconductor manufacturingLoans and debt financing,I,I-Loans and debt financing,Loans and debt financing
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,F,Semiconductor manufacturingDirect R&D Funding,I,I-Direct R&D Funding,Direct R&D Funding
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
