Source Player,Source Short form,Innovation Phase,source,Source Intervension,source filter,Target Player,Target innovation Phase,Target filter,Target short form,target,Target intervention
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Government & Regulators,M,Government & RegulatorsForums to define problems and approach,G,G-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsStandard Setting,G,G-Standard Setting,Standard Setting
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsNational Strategy,G,G-National Strategy,National Strategy
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsRegulatory approval and oversight,G,G-Regulatory approval and oversight,Regulatory approval and oversight
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsCollaborator Pull,G,G-Collaborator Pull,Collaborator Pull
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsWorkforce development programs,G,G-Workforce development programs,Workforce development programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsTrade agreements to open new markets,G,G-Trade agreements to open new markets,Trade agreements to open new markets
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsLaw changes,G,G-Law changes,Law changes
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingDirect R&D Funding,I,I-Direct R&D Funding,Direct R&D Funding
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingResearch Grants,I,I-Research Grants,Research Grants
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Semiconductor manufacturing,F,Semiconductor manufacturingLoans and debt financing,I,I-Loans and debt financing,Loans and debt financing
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,E,Government & RegulatorsStandard Setting,G,G-Standard Setting,Standard Setting
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsDirect R&D Funding,G,G-Direct R&D Funding,Direct R&D Funding
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsResearch Grants,G,G-Research Grants,Research Grants
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsTax credits and incentives,G,G-Tax credits and incentives,Tax credits and incentives
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsLoans and debt financing,G,G-Loans and debt financing,Loans and debt financing
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsLoan guarantees,G,G-Loan guarantees,Loan guarantees
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsInfrastructure creation,G,G-Infrastructure creation,Infrastructure creation
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,F,Government & RegulatorsCommercialization Funds,G,G-Commercialization Funds,Commercialization Funds
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsRegulatory approval and oversight,G,G-Regulatory approval and oversight,Regulatory approval and oversight
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsGauranteed purchases,G,G-Gauranteed purchases,Gauranteed purchases
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsForums to define problems and approach,G,G-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsWorkforce development programs,G,G-Workforce development programs,Workforce development programs
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsTrade agreements to open new markets,G,G-Trade agreements to open new markets,Trade agreements to open new markets
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Government & Regulators,M,Government & RegulatorsLaw changes,G,G-Law changes,Law changes
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,M,G-National Strategy,National Strategy,Government & RegulatorsNational Strategy,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Semiconductor manufacturing,F,Semiconductor manufacturingStock sales,I,I-Stock sales,Stock sales
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Semiconductor manufacturing,M,Semiconductor manufacturingShareholder advocacy,I,I-Shareholder advocacy,Shareholder advocacy
Government & Regulators,G,M,G-Regulatory approval and oversight,Regulatory approval and oversight,Government & RegulatorsRegulatory approval and oversight,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Government & Regulators,G,M,G-Trade agreements to open new markets,Trade agreements to open new markets,Government & RegulatorsTrade agreements to open new markets,Semiconductor manufacturing,M,Semiconductor manufacturingAdvertising,I,I-Advertising,Advertising
Government & Regulators,G,M,G-Workforce development programs,Workforce development programs,Government & RegulatorsWorkforce development programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Government & Regulators,G,R,G-Data Sharing,Data Sharing,Government & RegulatorsData Sharing,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,R,G-Lab Research,Lab Research,Government & RegulatorsLab Research,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,R,G-Lab Research,Lab Research,Government & RegulatorsLab Research,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,R,G-Lab Research,Lab Research,Government & RegulatorsLab Research,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Consumers of semiconductors,IBuy,F,IBuy-Increased purchases,Increased purchases,Consumers of semiconductorsIncreased purchases,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Consumers of semiconductors,IBuy,M,IBuy-Demand Pull,Demand Pull,Consumers of semiconductorsDemand Pull,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator Pull,I,I-Collaborator Pull,Collaborator Pull
Consumers of semiconductors,IBuy,M,IBuy-Demand Pull,Demand Pull,Consumers of semiconductorsDemand Pull,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
