Source Player,Source Short form,Innovation Phase,source,Source Intervension,source filter,Target Player,Target innovation Phase,Target filter,Target short form,target,Target intervention
Consumers of semiconductors,IBuy,M,IBuy-Demand Pull,Demand Pull,Consumers of semiconductorsDemand Pull,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Financial & Legal,IFin,E,IFin-Startups/Spinoffs,Startups/Spinoffs,Financial & LegalStartups/Spinoffs,Semiconductor manufacturing,E,Semiconductor manufacturingMargers & Acquisitions,I,I-Margers & Acquisitions,Margers & Acquisitions
Financial & Legal,IFin,F,IFin-Legal Advice ,Legal Advice ,Financial & LegalLegal Advice ,Semiconductor manufacturing,E,Semiconductor manufacturingMargers & Acquisitions,I,I-Margers & Acquisitions,Margers & Acquisitions
Financial & Legal,IFin,F,IFin-Legal Advice ,Legal Advice ,Financial & LegalLegal Advice ,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Financial & Legal,IFin,F,IFin-Legal Advice ,Legal Advice ,Financial & LegalLegal Advice ,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Financial & Legal,IFin,F,IFin-Loans and debt financing,Loans and debt financing,Financial & LegalLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Financial & Legal,IFin,F,IFin-Loans and debt financing,Loans and debt financing,Financial & LegalLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Financial & Legal,IFin,F,IFin-Venture Capital ,Venture Capital ,Financial & LegalVenture Capital ,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Financial & Legal,IFin,F,IFin-Venture Capital ,Venture Capital ,Financial & LegalVenture Capital ,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Financial & Legal,IFin,F,IFin-Venture Capital ,Venture Capital ,Financial & LegalVenture Capital ,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Financial & Legal,IFin,M,IFin-Market Research,Market Research,Financial & LegalMarket Research,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Financial & Legal,IFin,M,IFin-Market Research,Market Research,Financial & LegalMarket Research,Semiconductor manufacturing,M,Semiconductor manufacturingAdvertising,I,I-Advertising,Advertising
Financial & Legal,IFin,M,IFin-Market Research,Market Research,Financial & LegalMarket Research,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Financial & Legal,IFin,M,IFin-Shareholder advocacy,Shareholder advocacy,Financial & LegalShareholder advocacy,Semiconductor manufacturing,F,Semiconductor manufacturingDirect R&D Funding,I,I-Direct R&D Funding,Direct R&D Funding
Semiconductor manufacturing,I,E,I-Increase manufacturing capacity,Increase manufacturing capacity,Semiconductor manufacturingIncrease manufacturing capacity,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Semiconductor manufacturing,I,E,I-Increase manufacturing capacity,Increase manufacturing capacity,Semiconductor manufacturingIncrease manufacturing capacity,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Semiconductor manufacturing,I,E,I-Margers & Acquisitions,Margers & Acquisitions,Semiconductor manufacturingMargers & Acquisitions,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Semiconductor manufacturing,I,E,I-Margers & Acquisitions,Margers & Acquisitions,Semiconductor manufacturingMargers & Acquisitions,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Semiconductor manufacturing,I,E,I-Repurposing existing production lines,Repurposing existing production lines,Semiconductor manufacturingRepurposing existing production lines,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Semiconductor manufacturing,I,E,I-Repurposing existing production lines,Repurposing existing production lines,Semiconductor manufacturingRepurposing existing production lines,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Semiconductor manufacturing,I,E,I-Startups/Spinoffs,Startups/Spinoffs,Semiconductor manufacturingStartups/Spinoffs,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,E,I-Startups/Spinoffs,Startups/Spinoffs,Semiconductor manufacturingStartups/Spinoffs,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,F,I-Direct R&D Funding,Direct R&D Funding,Semiconductor manufacturingDirect R&D Funding,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Semiconductor manufacturing,I,F,I-Sales of goods/services,Sales of goods/services,Semiconductor manufacturingSales of goods/services,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Semiconductor manufacturing,I,F,I-Sales of goods/services,Sales of goods/services,Semiconductor manufacturingSales of goods/services,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Semiconductor manufacturing,I,F,I-Stock sales,Stock sales,Semiconductor manufacturingStock sales,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Semiconductor manufacturing,I,F,I-Stock sales,Stock sales,Semiconductor manufacturingStock sales,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Semiconductor manufacturing,I,F,I-Stock sales,Stock sales,Semiconductor manufacturingStock sales,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Semiconductor manufacturing,I,F,I-Stock sales,Stock sales,Semiconductor manufacturingStock sales,Semiconductor manufacturing,M,Semiconductor manufacturingShareholder advocacy,I,I-Shareholder advocacy,Shareholder advocacy
Semiconductor manufacturing,I,M,I-Advertising,Advertising,Semiconductor manufacturingAdvertising,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Semiconductor manufacturing,I,M,I-Advertising,Advertising,Semiconductor manufacturingAdvertising,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Government & Regulators,M,Government & RegulatorsCollaborator Pull,G,G-Collaborator Pull,Collaborator Pull
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Government & Regulators,M,Government & RegulatorsForums to define problems and approach,G,G-Forums to define problems and approach,Forums to define problems and approach
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Government & Regulators,M,Government & RegulatorsWorkforce development programs,G,G-Workforce development programs,Workforce development programs
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Government & Regulators,M,Government & RegulatorsTrade agreements to open new markets,G,G-Trade agreements to open new markets,Trade agreements to open new markets
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Semiconductor manufacturing,I,M,I-Collaborator pull,Collaborator pull,Semiconductor manufacturingCollaborator pull,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Semiconductor manufacturing,I,M,I-Forums to define problems and approach,Forums to define problems and approach,Semiconductor manufacturingForums to define problems and approach,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Semiconductor manufacturing,I,M,I-Workforce development programs,Workforce development programs,Semiconductor manufacturingWorkforce development programs,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Semiconductor manufacturing,I,M,I-Workforce development programs,Workforce development programs,Semiconductor manufacturingWorkforce development programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Government & Regulators,E,Government & RegulatorsStandard Setting,G,G-Standard Setting,Standard Setting
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Semiconductor manufacturing,I,R,I-Data Sharing,Data Sharing,Semiconductor manufacturingData Sharing,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Semiconductor manufacturing,I,R,I-Lab Research,Lab Research,Semiconductor manufacturingLab Research,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Semiconductor manufacturing,I,R,I-Lab Research,Lab Research,Semiconductor manufacturingLab Research,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Industry Associations and Alliances,OAssoc,E,OAssoc-Skills exchange programs,Skills exchange programs,Industry Associations and AlliancesSkills exchange programs,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Government & Regulators,F,Government & RegulatorsInfrastructure creation,G,G-Infrastructure creation,Infrastructure creation
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Industry Associations and Alliances,OAssoc,E,OAssoc-Standard Setting,Standard Setting,Industry Associations and AlliancesStandard Setting,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Industry Associations and Alliances,OAssoc,M,OAssoc-Forums to define problems and approach,Forums to define problems and approach,Industry Associations and AlliancesForums to define problems and approach,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Industry Associations and Alliances,OAssoc,R,OAssoc-Data Sharing,Data Sharing,Industry Associations and AlliancesData Sharing,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
